County,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
La Crosse,WI,650,78,286,468,44,61,279590,60747,55918,11779,2567
Lafayette,IN,457,34,193,325,14,24,199535,31824,39907,8187,1728
Lafayette,LA,1716,188,700,1208,87,137,477559,85840,95512,19778,4223
Lake Charles,LA,830,81,424,627,44,62,210604,37934,42121,8724,1863
Lakeland,FL,1046,103,382,714,57,80,317384,73118,63477,13450,2951
Lancaster,PA,1081,98,468,774,40,69,528715,112509,105743,22229,4833
Lansing,MI,1444,240,632,1038,115,177,561636,102892,112327,23297,4984
Las Vegas,NV,4165,761,1088,2626,162,462,1704994,321669,340999,70902,15213
Lawton,OK,733,76,346,539,32,54,152745,28422,30549,6344,1359
Lebanon,NH,939,105,333,636,56,80,320499,77792,64100,13657,3016
Lexington,KY,5045,579,2073,3559,172,375,1192842,231348,238568,49724,10700
Lincoln,NE,2047,116,1016,1532,33,75,459005,93970,91801,19228,4162
Little Rock,AR,4854,520,2174,3514,177,348,1212482,258840,242496,50992,11090
Longview,TX,224,45,98,161,21,33,161316,33367,32263,6764,1466
Los Angeles,CA,19492,2415,6594,13043,942,1679,7874162,1268093,1574832,323312,68296
Louisville,KY,4162,506,1700,2931,165,335,1385741,271762,277148,57822,12458
Lubbock,TX,1811,298,922,1367,85,191,546461,91980,109292,22513,4776
Lynchburg,VA,1174,55,309,741,20,37,217344,49862,43469,9206,2019
Macon,GA,2295,240,865,1580,57,149,568689,111226,113738,23724,5110
Madison,WI,2443,267,838,1640,121,194,886932,165619,177386,36850,7898
Manchester,NH,1603,137,582,1092,53,95,714679,143594,142936,29886,6456
Manhattan,NY,14834,1427,3059,8946,616,1021,4173437,725342,834687,172372,36678
Marquette,MI,601,47,276,438,18,32,159278,39415,31856,6802,1506
Marshfield,WI,706,68,281,494,34,51,295582,70770,59116,12577,2773
Mason City,IA,470,18,239,354,6,12,100326,26837,20065,4322,967
McAllen,TX,1938,350,849,1394,133,241,486579,74033,97316,19897,4181
Medford,OR,855,72,369,612,25,49,351154,95565,70231,15160,3398
Melrose Park,IL,2902,334,1122,2012,137,236,1031510,185204,206302,42716,9119
Memphis,TN,5054,543,2045,3549,139,341,1366198,246308,273240,56595,12087
Meridian,MS,1117,57,445,781,19,38,148060,32340,29612,6241,1361
Mesa,AZ,2091,291,648,1370,108,200,1135619,212738,227124,47196,10119
Metairie,LA,857,111,406,631,44,78,366346,76217,73269,15369,3333
Miami,FL,9139,981,2952,6045,280,630,2741481,526396,548296,114178,24544
Milwaukee,WI,5263,818,2207,3735,323,570,2079205,380644,415841,86242,18447
Minneapolis,MN,6954,612,2458,4706,238,425,2570355,478271,514071,106761,22874
Minot,ND,916,19,384,650,9,14,112434,19303,22487,4639,986
Missoula,MT,1002,79,455,729,39,59,315091,74302,63018,13385,2946
Mobile,AL,2066,282,695,1380,101,191,648957,135227,129791,27230,5906
Modesto,CA,1478,118,467,972,44,81,680976,119559,136195,28149,5996
Monroe,LA,1064,102,561,813,36,69,204787,41070,40957,8562,1849
Montgomery,AL,1225,131,461,843,61,96,360863,68023,72173,15005,3219
Morgantown,WV,1555,155,499,1027,40,97,329288,68760,65858,13819,2998
Morristown,NJ,1862,147,589,1226,54,101,795142,157620,159028,33210,7163
Muncie,IN,377,36,129,253,8,22,128803,27663,25761,5420,1180
Munster,IN,1500,105,642,1071,42,74,239843,45234,47969,9974,2140
Muskegon,MI,501,57,253,377,40,49,209507,45654,41901,8829,1925
Napa,CA,456,70,152,304,41,56,218503,53625,43701,9322,2062
Nashville,TN,7810,1118,2987,5398,317,717,2282662,410987,456532,94550,20190
Neenah,WI,447,46,262,355,25,35,191863,39899,38373,8049,1745
New Brunswick,NJ,2177,213,616,1397,126,170,845392,153380,169078,35039,7488
New Haven,CT,2825,286,610,1717,118,202,1177072,244084,235414,49366,10701
New Orleans,LA,2491,313,869,1680,77,195,554325,92037,110865,22813,4833
Newark,NJ,3636,403,1033,2334,195,299,1233539,198090,246708,50638,10694
Newport News,VA,905,145,251,578,45,95,447424,89385,89485,18700,4037
Norfolk,VA,2543,276,782,1663,82,179,1023500,174191,204700,42203,8962
Ocala,FL,902,150,289,596,51,100,449792,185054,89958,20608,4918
Odessa,TX,1014,101,543,779,38,70,283753,43182,56751,11603,2438
Ogden,UT,750,110,371,561,42,76,356000,51907,71200,14514,3039
Oklahoma City,OK,5541,582,2447,3994,225,404,1491485,279037,298297,61978,13287
Olympia,WA,558,84,173,365,25,54,320156,71021,64031,13515,2952
Omaha,NE,4017,449,1742,2879,184,317,1010995,195073,202199,42124,9060
Orange County,CA,5813,690,2236,4024,293,491,2662559,456181,532512,109845,23341
Orlando,FL,10004,1284,3292,6648,448,866,3130935,714153,626187,132544,29051
Ormond Beach,FL,872,158,359,616,63,110,338880,108815,67776,14945,3429
Owensboro,KY,390,36,175,282,14,25,112038,24900,22408,4731,1034
Oxford,MS,835,29,344,589,15,22,116854,21977,23371,4858,1042
Paducah,KY,1490,117,779,1134,57,87,290227,70421,58045,12367,2731
Palm Springs/Rancho Mira,CA,974,69,404,689,23,46,305976,94312,61195,13419,3060
Paterson,NJ,1164,84,527,845,12,48,310775,60087,62155,12951,2786
Pensacola,FL,2001,230,755,1378,91,160,636854,130505,127371,26680,5776
Peoria,IL,1725,156,643,1184,71,114,469070,106095,93814,19840,4344
Petoskey,MI,476,68,178,327,22,45,142627,37819,28525,6138,1371
Philadelphia,PA,10697,1257,3634,7165,546,902,3331376,632032,666275,138601,29757
Phoenix,AZ,6977,957,2567,4772,416,687,2761090,532669,552218,115042,24742
Pittsburgh,PA,8133,1079,2738,5436,420,749,2324172,541967,464834,98616,21672
Pontiac,MI,911,95,321,616,49,72,376936,70983,75387,15672,3362
Portland,ME,2524,209,710,1617,92,151,876231,194509,175246,36992,8082
Portland,OR,4684,661,1737,3211,278,469,2215589,412976,443118,92039,19724
Providence,RI,2249,293,690,1470,82,188,986702,192737,197340,41157,8863
Provo,UT,941,122,387,664,52,87,436975,52585,87395,17604,3630
Pueblo,CO,615,28,238,426,7,17,138550,32449,27710,5881,1293
Raleigh,NC,3560,375,1124,2342,160,267,1670043,272076,334009,68631,14513
Rapid City,SD,878,46,343,610,20,33,173590,37388,34718,7307,1591
Reading,PA,1329,99,559,944,50,75,466917,99775,93383,19638,4272
Redding,CA,786,109,284,535,58,83,276179,64591,55236,11722,2577
Reno,NV,1886,406,660,1273,128,267,605953,127753,121191,25454,5528
Richmond,VA,4478,465,1488,2983,144,305,1409076,264187,281815,58564,12558
Ridgewood,NJ,814,83,275,544,35,59,338732,65551,67746,14117,3037
Roanoke,VA,2189,272,593,1391,113,192,569741,127897,113948,24080,5268
Rochester,MN,1835,240,594,1215,90,165,320367,71522,64073,13533,2959
Rochester,NY,3766,289,827,2297,87,188,1036499,211611,207300,43408,9393
Rockford,IL,1320,199,613,966,96,147,552131,118035,110426,23224,5052
Rome,GA,733,74,229,481,16,45,221920,45706,44384,9301,2015
Royal Oak,MI,2781,324,858,1819,97,211,556198,117512,111240,23368,5076
Sacramento,CA,4381,616,1315,2848,224,420,2076640,403030,415328,86570,18631
Saginaw,MI,2396,208,962,1679,63,136,489824,124235,97965,20974,4658
Salem,OR,487,64,154,321,10,37,255161,50897,51032,10663,2302
Salinas,CA,740,70,290,515,37,54,303247,51843,60649,12508,2657
Salisbury,MD,598,59,187,392,26,43,371513,100254,74303,16022,3587
Salt Lake City,UT,3999,526,1804,2902,277,402,1552687,249737,310537,63747,13464
San Angelo,TX,584,35,323,454,17,26,126084,26085,25217,5287,1146
San Antonio,TX,6234,747,2477,4356,216,482,2191766,376149,438353,90434,19219
San Bernardino,CA,5691,690,2125,3908,231,460,2406889,366977,481378,98434,20690
San Diego,CA,6178,802,1949,4064,358,580,3005567,497077,601113,123656,26186
San Francisco,CA,3776,439,1139,2458,203,321,1272753,236390,254551,52856,11323
San Jose,CA,2547,341,916,1731,146,244,1456607,234573,291321,59808,12634
San Luis Obispo,CA,390,54,202,296,33,44,213703,46965,42741,9013,1967
San Mateo County,CA,1555,198,452,1003,88,143,666874,128195,133375,27777,5972
Santa Barbara,CA,858,82,246,552,35,59,359828,67153,71966,14949,3204
Santa Cruz,CA,359,22,169,264,6,14,229413,39590,45883,9470,2014
Santa Rosa,CA,1272,93,306,789,45,69,402885,88435,80577,16990,3707
Sarasota,FL,1309,159,604,957,77,118,374960,156791,74992,17228,4122
Savannah,GA,2050,163,650,1350,55,109,701923,139656,140385,29327,6328
Sayre,PA,591,62,215,403,28,45,153089,36987,30618,6520,1439
Scranton,PA,782,65,324,553,31,48,253817,63450,50763,10851,2405
Seattle,WA,4700,651,1366,3033,209,430,2421217,421176,484243,100009,21282
Shreveport,LA,2468,283,1080,1774,111,197,531003,109269,106201,22254,4820
Sioux City,IA,909,59,362,635,23,41,195685,41561,39137,8226,1788
Sioux Falls,SD,4065,103,1653,2859,52,77,603563,129561,120713,25397,5527
Slidell,LA,536,137,338,437,70,103,149492,32656,29898,6301,1374
South Bend,IN,1273,148,551,912,70,109,539539,108077,107908,22556,4871
Spartanburg,SC,809,125,280,545,65,95,300991,64361,60198,12660,2754
Spokane,WA,3652,355,1657,2655,134,245,1210559,251604,242112,50782,11011
Springdale,AR,1144,135,616,880,73,104,437572,77638,87514,18103,3860
Springfield,IL,2426,213,1172,1799,79,146,637463,146057,127493,26999,5921
Springfield,MA,1588,195,500,1044,73,134,600306,123079,120061,25150,5445
Springfield,MO,2078,226,819,1449,67,147,688462,166812,137692,29331,6476
St. Cloud,MN,898,45,227,563,16,31,203089,38678,40618,8452,1815
St. Joseph,MI,393,20,238,316,9,14,110235,26066,22047,4684,1031
St. Louis,MO,10187,1180,4326,7257,547,864,2666497,532142,533299,111438,24055
St. Paul,MN,1604,183,582,1093,48,116,856536,148362,171307,35367,7523
St. Petersburg,FL,1424,139,613,1018,33,86,354891,90670,70978,15209,3381
Stockton,CA,918,121,329,623,41,81,464979,77159,92996,19135,4054
Sun City,AZ,845,119,364,604,81,100,237503,104547,47501,11012,2658
Syracuse,NY,3062,243,950,2006,77,160,832908,165881,166582,34802,7511
Tacoma,WA,1388,197,366,877,62,129,642251,109410,128450,26484,5624
Takoma Park,MD,1181,150,294,738,48,99,789639,122832,157928,32340,6810
Tallahassee,FL,2242,193,603,1423,50,122,668985,118753,133797,27678,5902
Tampa,FL,4005,515,1289,2647,165,340,1170264,218181,234053,48616,10418
Temple,TX,985,162,390,688,50,106,409683,59971,81937,16707,3499
Terre Haute,IN,468,64,207,337,37,50,140148,28559,28030,5868,1270
Texarkana,AR,656,90,383,519,62,76,198305,43677,39661,8365,1826
Toledo,OH,2679,456,1122,1900,179,317,767671,155817,153534,32132,6949
Topeka,KS,1304,112,594,949,49,80,352693,68579,70539,14705,3165
Traverse City,MI,756,26,293,525,7,17,189619,52436,37924,8202,1842
Tucson,AZ,2677,335,1184,1930,161,248,971119,232066,194224,41312,9106
Tulsa,OK,4185,486,1783,2984,159,323,1070712,213442,214142,44742,9657
Tupelo,MS,1634,104,818,1226,61,83,308796,61185,61759,12897,2782
Tuscaloosa,AL,1066,143,297,681,37,90,215194,37920,43039,8898,1896
Tyler,TX,1338,224,527,932,127,176,437181,98736,87436,18489,4048
Urbana,IL,1047,99,480,764,54,77,361763,69031,72353,15059,3235
Ventura,CA,1087,163,278,682,94,128,669683,124579,133937,27815,5959
Victoria,TX,574,46,352,463,18,32,115052,25536,23010,4857,1061
Waco,TX,720,60,261,490,24,42,264389,54218,52878,11077,2398
Washington,DC,5055,601,1595,3325,218,409,2179021,378878,435804,90001,19152
Waterloo,IA,668,36,340,504,19,28,167837,36303,33567,7067,1539
Wausau,WI,403,72,152,278,45,59,150679,36287,30136,6415,1415
White Plains,NY,2973,243,597,1785,137,190,896882,178478,179376,37473,8086
Wichita Falls,TX,516,24,298,407,8,16,154615,31786,30923,6479,1403
Wichita,KS,4590,442,2225,3407,202,322,951715,198669,190343,39940,8664
Wilkes-Barre,PA,651,102,263,457,24,63,198135,47118,39627,8424,1856
Wilmington,DE,1845,237,601,1223,62,149,637120,120121,127424,26493,5684
Wilmington,NC,1005,90,251,628,17,54,385088,91585,77018,16374,3607
Winchester,VA,1051,84,357,704,22,53,350240,74330,70048,14721,3200
Winston-Salem,NC,2870,499,843,1857,40,269,899862,197294,179972,37943,8278
Worcester,MA,1525,169,425,975,43,106,652386,122123,130477,27111,5812
Yakima,WA,369,58,200,285,33,45,220972,40707,44194,9170,1963
York,PA,868,79,267,567,8,43,343334,73773,68667,14448,3145
Youngstown,OH,1555,158,543,1049,66,112,493628,124167,98726,21117,4685
